id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20110_3ab3c394-5b07-4a79-8ca3-2f34ec90dd50, 2369.00000, 1344.75000, 0.00000, 10000000.00000, 3228.00000, 9789.50000, 10.20566, 7.91238, 5243.50000, 149292.00000, 0.00000, 3.74467, -0.01535, -0.01096, -0.00521, -0.05057, 0.16440, 8.52169, 0.00000, 10.20566, 0.00000, 4624769.33963, 2.51897, 1.23221
20248_5c4dfbe2-5348-429f-b5fd-034e6356340d, 2661.50000, 22450.25000, 0.00000, 2.05995, 3626.00000, 41792.00000, 0.00000, 3.15768, 5216.00000, 20364.00000, 0.00000, 3.05539, -0.00091, -0.00099, -0.00683, 0.97693, 0.95627, 0.89613, 0.00000, 0.00000, 0.00000, 0.95268, 1.00528, 1.00539
20248_7b6f47dc-38c3-407e-8305-5e024eba1bec, 2591.00000, 23316.00000, 0.00000, 2.14774, 3642.50000, 41313.00000, 0.00000, 3.13383, 5201.00000, 20400.00000, 0.00000, 3.02805, -0.00439, -0.00058, -0.00772, 1.02315, 0.94385, 0.89915, 0.00000, 0.00000, 0.00000, 0.99328, 0.99768, 0.99640
20248_3bd86ea3-1901-4220-a70b-e05ac3a794ff, 2861.50000, 23754.75000, 0.00000, 2.31995, 3665.00000, 41138.50000, 0.00000, 3.10154, 5319.00000, 20101.50000, 0.00000, 3.04411, 0.00896, -0.00001, -0.00074, 1.03146, 0.93891, 0.87451, 0.00000, 0.00000, 0.00000, 1.07292, 0.98740, 1.00168
20248_8eb2d4c0-0bfa-4904-835d-8b286fa75022, 2751.50000, 23265.50000, 0.00000, 2.18818, 3682.50000, 38682.50000, 0.38856, 2.85441, 5328.00000, 19025.00000, 0.00000, 3.00037, 0.00353, 0.00043, -0.00021, 1.01274, 0.87694, 0.81029, 0.00000, 0.38856, 0.00000, 1.01198, 0.90873, 0.98729
20248_736a6f48-b6d3-48d8-873e-4ea073cd8d6c, 2639.00000, 16656.50000, 0.00000, 2.06931, 3754.00000, 29063.50000, 0.40881, 2.83083, 5266.00000, 13299.00000, 0.00000, 2.92566, -0.00202, 0.00222, -0.00387, 0.69202, 0.63414, 0.47522, 0.00000, 0.40881, 0.00000, 0.95701, 0.90122, 0.96270
20484_306855a5-0cd7-4845-92ed-61302d3498cd, 2531.50000, 22502.25000, 0.00000, 1.97140, 3696.00000, 44778.50000, 0.00000, 3.10601, 5402.50000, 21941.00000, 0.00000, 3.07778, -0.00733, 0.00076, 0.00420, 0.98592, 1.02934, 0.97839, 0.00000, 0.00000, 0.00000, 0.91173, 0.98883, 1.01276
20484_28e65c1a-118b-4867-b924-9b76bb98a394, 2968.50000, 23678.50000, 0.00000, 2.25004, 3752.50000, 43913.50000, 0.00000, 3.18781, 5372.50000, 22092.50000, 0.00000, 3.07010, 0.01424, 0.00218, 0.00243, 1.02241, 1.00625, 0.98913, 0.00000, 0.00000, 0.00000, 1.04059, 1.01487, 1.01023
20484_6cf5d8dc-eac0-4827-b0b6-f0e59c9d6507, 2781.00000, 23865.50000, 0.00000, 2.10103, 3747.00000, 44550.00000, 0.00000, 3.13553, 5396.00000, 22834.25000, 0.00000, 3.03285, 0.00499, 0.00204, 0.00382, 1.04090, 1.02234, 1.03162, 0.00000, 0.00000, 0.00000, 0.97168, 0.99822, 0.99798
20484_2bccf23e-5126-4b3c-9c12-ae774c8aaba0, 2903.00000, 24532.50000, 0.00000, 2.26864, 3758.00000, 44773.00000, 0.00000, 3.11919, 5507.00000, 23161.00000, 0.00000, 3.03744, 0.01101, 0.00232, 0.01038, 1.06781, 1.02765, 1.04438, 0.00000, 0.00000, 0.00000, 1.04919, 0.99302, 0.99949
