ID Chemical,Actual Class,J48 Prediction,NB Prediction,IBk5 Prediction,SVM Prediction
21800,Inactive,Inactive,Inactive,Inactive,Inactive
21801,Inactive,Inactive,Inactive,Inactive,Inactive
20037,Inactive,Inactive,Inactive,Inactive,Inactive
20202,Inactive,Inactive,Inactive,Inactive,Inactive
20504,Inactive,Inactive,Inactive,Inactive,Inactive
21813,Inactive,Inactive,Inactive,Inactive,Inactive
20047,Inactive,Inactive,Inactive,Inactive,Inactive
20058,Inactive,Inactive,Inactive,Inactive,Inactive
21092,Inactive,Inactive,Inactive,Inactive,Inactive
20411,Inactive,Inactive,Inactive,Inactive,Inactive
20446,Inactive,Inactive,Inactive,Inactive,Inactive
20295,Inactive,Inactive,Inactive,Inactive,Inactive
20194,Inactive,Inactive,Inactive,Inactive,Inactive
20296,Inactive,Inactive,Inactive,Inactive,Inactive
20240,Inactive,Inactive,Inactive,Inactive,Inactive
21810,Inactive,Inactive,Inactive,Inactive,Inactive
20532,Inactive,Inactive,Inactive,Inactive,Inactive
21627,Inactive,Inactive,Inactive,Inactive,Inactive
21716,Inactive,Inactive,Inactive,Inactive,Inactive
21674,Inactive,Inactive,Inactive,Inactive,Inactive
20596,Inactive,Inactive,Inactive,Inactive,Inactive
20801,Inactive,Inactive,Inactive,Inactive,Inactive
20627,Inactive,Inactive,Inactive,Inactive,Inactive
21411,Inactive,Inactive,Inactive,Inactive,Inactive
20737,Inactive,Inactive,Inactive,Inactive,Inactive
20895,Inactive,Inactive,Inactive,Inactive,Inactive
20934,Inactive,Inactive,Inactive,Inactive,Inactive
20270,Inactive,Inactive,Inactive,Inactive,Inactive
21899,Inactive,Inactive,Inactive,Inactive,Inactive
20320,Inactive,Inactive,Inactive,Inactive,Inactive
20328,Inactive,Inactive,Inactive,Inactive,Inactive
20397,Inactive,Inactive,Inactive,Inactive,Inactive
20381,Inactive,Inactive,Inactive,Inactive,Inactive
21276,Inactive,Inactive,Inactive,Inactive,Inactive
21842,Inactive,Inactive,Inactive,Inactive,Inactive
20399,Inactive,Inactive,Inactive,Inactive,Inactive
20700,Inactive,Inactive,Inactive,Inactive,Inactive
20406,Inactive,Inactive,Inactive,Inactive,Inactive
21367,Inactive,Inactive,Inactive,Inactive,Inactive
20560,Inactive,Inactive,Inactive,Inactive,Inactive
21848,Inactive,Inactive,Inactive,Inactive,Inactive
