@relation TS3-TS6-Pv

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2075,57905,0.63629,1.62354,3603,71877.5,0.61976,2.62191,4488,52968,0,2.39981,-0.00135,-0.00242,-0.00521,0.9895,0.94893,0.96,0.63629,0.03982,0,0.91881,0.98916,1.00511,Inactive
2196.5,56882.25,0.3598,1.74484,3736.5,73513,0.68694,2.62404,4605.5,51661,0,2.38607,0.00081,-0.00056,-0.00288,0.96922,0.96981,0.93179,0.3598,0.107,0,0.98746,0.98996,0.99936,Inactive
2150,55598.5,0,1.99554,3757,66708,0.95271,2.75829,5338,46934,0.41186,2.67389,-0.00002,-0.00028,0.01162,0.94729,0.87494,0.82368,0,0.37277,0.41186,1.12934,1.04061,1.1199,Inactive
2237,54117,0,2.81445,3695,64535,2.06775,3.20261,4477,58478,0.56526,3.07497,0.00152,-0.00114,-0.00543,0.91949,0.8456,1.06933,0,1.48782,0.56526,1.59278,1.20824,1.28789,Inactive
2106,57951,0.80933,1.5606,3578,72828,0.59989,2.60249,4418,53056,0,2.31434,-0.0008,-0.00277,-0.00659,0.98976,0.96249,0.96313,0.80933,0.01996,0,0.88319,0.98183,0.96931,Inactive
2155,57231,0.72765,1.60595,3717,73534,0.62168,2.65861,4497,54264,0,2.35163,0.00007,-0.00083,-0.00503,0.97614,0.97037,0.98549,0.72765,0.04175,0,0.90886,1.00301,0.98493,Inactive
2030,54932,0.87274,1.4879,3703,71820,0.58428,2.65702,4448,50596,0,2.36363,-0.00214,-0.00103,-0.006,0.9376,0.94674,0.91382,0.87274,0.00435,0,0.84205,1.00241,0.98996,Inactive
2170,53316,0.75058,1.58516,3742,74298,0.52237,2.64286,4730,51228,0,2.37897,0.00034,-0.00049,-0.00042,0.90648,0.98064,0.92075,0.75058,-0.05757,0,0.89709,0.99706,0.99638,Inactive
2454,54137,1.08628,1.57305,3876,71740,0.62682,2.70412,4755,49930,0,2.44367,0.00537,0.00138,0.00008,0.916,0.94322,0.89455,1.08628,0.04689,0,0.89024,1.02018,1.02348,Inactive
1848,56323,0,1.78603,3691,70759,0.64304,2.65652,4490,52513,0,2.3697,-0.00537,-0.0012,-0.00517,0.96548,0.93216,0.95095,0,0.0631,0,1.01077,1.00222,0.9925,Inactive
1753,55119,0,1.75705,3856,74387,0.67345,2.64121,4748,50870,0.64544,2.11298,-0.00705,0.0011,-0.00006,0.94583,0.98029,0.91331,0,0.09352,0.64544,0.99437,0.99644,0.88498,Inactive
2252,67816,0.75274,1.64016,5184,78602.5,1.65633,2.66139,4836,62761,0.56781,2.15758,0.00179,0.01956,0.00168,1.16202,1.02042,1.14703,0.75274,1.0764,0.56781,0.92822,1.00406,0.90366,Inactive
2129,56024,0.69932,1.66916,3716,69114.5,0.57099,2.70335,4454,51043,0.60536,2.12272,-0.00039,-0.00085,-0.00588,0.9552,0.90896,0.92255,0.69932,-0.00894,0.60536,0.94463,1.01989,0.88906,Inactive
2185,54604.5,0.64812,1.68539,3663,71387,0.6705,2.61506,4646,51053,0,2.36828,0.0006,-0.00158,-0.00208,0.92905,0.94128,0.91895,0.64812,0.09057,0,0.95381,0.98658,0.9919,Inactive
2336,55054,0.91167,1.615,3801,73296,0.63816,2.66072,4727,51718,0.57345,2.1647,0.00328,0.00033,-0.00048,0.93434,0.96589,0.93051,0.91167,0.05822,0.57345,0.91398,1.0038,0.90664,Inactive
2148,54784,0.74785,1.61108,3816,72246.5,0.65577,2.64904,4571,50930,0,2.38893,-0.00005,0.00054,-0.00356,0.93289,0.9511,0.918,0.74785,0.07584,0,0.91176,0.9994,1.00055,Inactive
2357,53906,0,1.98574,3866,73188,0.67945,2.64437,4679,49383.5,0.64116,2.11341,0.00365,0.00124,-0.00143,0.91362,0.96349,0.88524,0,0.09951,0.64116,1.12379,0.99763,0.88516,Inactive
1936,56684,0.84011,1.52536,3663,68532,0.95971,2.59102,4457,52836,0.52665,2.19559,-0.00381,-0.00158,-0.00582,0.97032,0.9016,0.958,0.84011,0.37977,0.52665,0.86325,0.97751,0.91958,Inactive
